   Month    Year    Type TrainKm       y
       9      97       2   0.436       7
       8      96       2   0.424       1
       3      96       3   0.424       1
       1      95       2   0.426       1
      10      94       1   0.419       5
       6      94       1   0.419       2
       7      91       1   0.439       4
       1      91       1   0.439       2
       8      90       2   0.431       1
       4      89       3   0.436       1
       3      89       1   0.436       2
       3      89       1   0.436       5
      12      88       1   0.443      35
      11      88       2   0.443       1
      10      87       1   0.397       4
       9      86       2   0.414       1
       9      86       1   0.414       2
       4      86       3   0.414       1
       3      86       2   0.414       1
      12      84       2   0.389       3
      12      84       1   0.389       1
      10      84       2   0.389       3
       7      84       2   0.389      13
       2      84       3   0.389       2
      12      83       1   0.401       1
       2      83       2   0.401       1
      12      82       1   0.372       1
      12      81       1   0.417       4
      12      81       2   0.417       1
      11      80       3    0.43       2
       3      80       1    0.43       1
      10      79       1   0.426       5
       4      79       1   0.426       7
       2      79       1   0.426       1
      12      78       1    0.43       1
      12      78       1    0.43       3
       9      77       1   0.425       2
      11      76       3   0.426       1
       1      76       3   0.426       2
      10      75       2   0.436       1
       8      75       3   0.436       2
       6      75       1   0.436       6
       1      75       2   0.436       1
      10      74       3   0.452       1
       6      74       1   0.452       1
      12      73       1   0.433      10
       8      73       1   0.433       5
       4      73       3   0.433       1
       9      72       3   0.431       1
       6      72       1   0.431       6
      12      71       3   0.444       3
      10      71       3   0.444       1
       7      71       1   0.444       2
       2      71       1   0.444       1
       5      70       1   0.452       2
      12      69       2   0.447       1
       5      69       1   0.447       1
       5      69       1   0.447       6
       4      69       2   0.447       2
       3      69       1   0.447       2
       1      69       1   0.447       4
       9      68       1   0.449       2
      11      67       1   0.459      49
       9      67       1   0.459       1
       7      67       1   0.459       7
       3      67       1   0.459       5
       2      67       1   0.459       9
